model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
gpt-4o-mini,always_autonomous,Always autonomous,0.2,0.6,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.2,0.75,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.2,0.9,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.2,1.0,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.3,0.6,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.3,0.75,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.3,0.9,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.3,1.0,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.5,0.6,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gpt-4o-mini,always_autonomous,Always autonomous,0.5,0.75,5,120,0.0,0.0,True,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.30833333333333335,0.30833333333333335,1.0,0.0,1.0,1.0,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
